Gender,AGE,District,Locality,Educational Qualification,Job_Type,Monthly Income,Bank (Preferrable),Type of Bank Account,Money Transfer Method,Investment Type,Satisfactied_with_Bank,Score
Woman,52,Hooghly,Village,Post Graduation,"
Government service",above Rs 50000,Public bank,"Savings Account, Salary Account",NEFT,Pf,Yes,1.125
Man,63,Hooghly,Village,Diploma ,Business,Rs 20000 to Rs 30000,Public bank,Savings Account,UPI,Mutual Fund,Not,1.265625
Woman,51,North 24 Parganas,Suburbs,Higher Secondary,Housewife,Rs5000 to Rs10000,Private bank,Savings Account,none,Fixed Deposit,Yes,0.188802083
Woman,27,Hooghly,Village,Graduation,Private job,Rs 30000 to Rs 40000,Private bank,Savings Account,"RTGS, NEFT, DEMAND DRAFT, UPI","Fixed Deposit, Recurrent Deposit",Yes,21.18880208
Man,28,Hooghly,Village,Higher Secondary,"
Government service",Rs5000 to Rs10000,Public bank,Savings Account,UPI,Fixed Deposit,Yes,3.77360026
Man,28,Hooghly,Village,Higher Secondary,Private job,Rs5000 to Rs10000,Private bank,Salary Account,UPI,none,Not,2.943400065
Man,22,Howrah ,City,Graduation,Student,below Rs. 5000,Private bank,Savings Account,"NEFT, DEMAND DRAFT, UPI",none,Yes,2.735850016
Man,24,North 24 Parganas,City,Post Graduation,Private job,Rs 20000 to Rs 30000,Public bank,"Savings Account, Salary Account",UPI,Fixed Deposit,Yes,3.183962504
Man,58,Howrah,Suburbs,Primary Education,Worker,below Rs. 5000,Public bank,Savings Account,none,none,Yes,0.348663542
Woman,17,North 24 Parganas,City,Higher Secondary,Student,below Rs. 5000,Public bank,Savings Account,none,none,Yes,0.112388629
Man,43,North 24 Parganas,Suburbs,Graduation,"
Government service",Rs 20000 to Rs 30000,Public bank,Savings Account,none,Fixed Deposit,Yes,1.139048579
Man,20,North 24 Parganas,Suburbs,Graduation,Student,below Rs. 5000,Public bank,Not,UPI,none,Not,0
Man,27,North 24 Parganas,City,Post Graduation,Student,Rs 30000 to Rs 40000,Public bank,Savings Account,All,"Fixed Deposit, Recurrent Deposit, Share Market, National Schemes through Post office",Yes,11
Woman,27,Kolkata,City,Post Graduation,Private job,above Rs 50000,Public bank,"Savings Account, Salary Account","RTGS, NEFT, DEMAND DRAFT, IMPS, UPI, All",none,Not,32
Man,26,Hooghly,Suburbs,Post Graduation,Student,Rs 20000 to Rs 30000,Public bank,"Savings Account, Salary Account","NEFT, DEMAND DRAFT, IMPS, UPI",none,Not,51
Woman,23,West Midnapore,Village,Graduation,Private job,Rs5000 to Rs10000,Public bank,Savings Account,"DEMAND DRAFT, UPI",Recurrent Deposit,Yes,17.5
Woman,24,North 24 Parganas,Suburbs,Graduation,Private job,Rs 20000 to Rs 30000,Private bank,Savings Account,UPI,none,Yes,3.583333333
Woman,25,North 24 Parganas,Suburbs,Graduation,"
Government service",Rs 40000 to Rs 50000,Public bank,Savings Account,UPI,none,Yes,11.79166667
Man,57,North 24 Parganas,Suburbs,Graduation,Business,above Rs 50000,Public bank,Current Account,RTGS,Fixed Deposit,Yes,8.131944444
Woman,25,North 24 Parganas,Suburbs,Graduation,"
Government service",below Rs. 5000,Private bank,Savings Account,UPI,none,Yes,14.06597222
Man,32,North 24 Parganas,City,Higher Secondary,Private job,Rs5000 to Rs10000,Public bank,Savings Account,UPI,Fixed Deposit,Yes,5.516493056
Man,26,West Midnapore,Village,Graduation,Self -reliant,below Rs. 5000,Public bank,Savings Account,UPI,none,Yes,1.814561632
Woman,25,North 24 Parganas,Village,Post Graduation,Student,below Rs. 5000,Public bank,Savings Account,"NEFT, DEMAND DRAFT, UPI","Mutual Fund, National Schemes through Post office",Not,22.81456163
Man,26,North 24 Parganas,Suburbs,Post Graduation,"
Government service",Rs 30000 to Rs 40000,Public bank,"Savings Account, Current Account","RTGS, NEFT, DEMAND DRAFT, UPI","Fixed Deposit, Mutual Fund, National Schemes through Post office",Yes,22.40728082
Man,25,South 24 parganas,Village,Graduation,Student,Rs 20000 to Rs 30000,Private bank,Salary Account,UPI,"Fixed Deposit, Recurrent Deposit",Yes,21.20364041
Woman,19,North 24 Parganas,City,Higher Secondary,Student,Rs 10000 to Rs 20000,Public bank,Current Account,none,none,Yes,0
Man,24,North 24 Parganas,City,Graduation,"
Government service",Rs 40000 to Rs 50000,Public bank,Savings Account,"RTGS, NEFT, DEMAND DRAFT, UPI","Fixed Deposit, Recurrent Deposit, Mutual Fund",Yes,1.125
Man,30,North 24 Parganas,Suburbs,Post Graduation,Private job,Rs 10000 to Rs 20000,Public bank,"Savings Account, Salary Account","RTGS, NEFT, DEMAND DRAFT, IMPS, UPI, All",Fixed Deposit,Not,2.78125
Man,24,North 24 Parganas,Village,Graduation,Private job,Rs 30000 to Rs 40000,Public bank,"Savings Account, Salary Account","NEFT, UPI",none,Yes,23.78125
Woman,25,North 24 Parganas,Suburbs,Higher Secondary,Housewife,below Rs. 5000,Private bank,Savings Account,UPI,"Fixed Deposit, Recurrent Deposit",Yes,22.890625
Man,24,North 24 Parganas,Suburbs,Graduation,"
Government service",above Rs 50000,Private bank,"Savings Account, Salary Account",All,All,Yes,43.890625
Woman,23,North 24 Parganas,Suburbs,Graduation,Self -reliant,below Rs. 5000,Public bank,Savings Account,UPI,Mutual Fund,Yes,3.740885417
Man,28,North 24 Parganas,Suburbs,Graduation,Student,Rs 10000 to Rs 20000,Private bank,Savings Account,UPI,"Fixed Deposit, Mutual Fund",Yes,24.74088542
Man,20,North 24 Parganas,Suburbs,Higher Secondary,Business,Rs 20000 to Rs 30000,Private bank,Not,none,none,Not,0
Man,22,North 24 Parganas,Suburbs,Post Graduation,Student,below Rs. 5000,Public bank,Savings Account,none,none,Yes,0
Man,24,North 24 Parganas,Suburbs,Graduation,Private job,Rs 10000 to Rs 20000,Public bank,"Savings Account, Salary Account","RTGS, NEFT, DEMAND DRAFT, UPI","Fixed Deposit, Recurrent Deposit, Mutual Fund, Share Market, National Schemes through Post office",Yes,11
Man,25,Hooghly,City,Post Graduation,Student,Rs5000 to Rs10000,Public bank,Savings Account,"RTGS, NEFT, DEMAND DRAFT, UPI","Fixed Deposit, Recurrent Deposit, Mutual Fund, Share Market",Yes,32
Man,50,North 24 Parganas,Suburbs,Graduation,Private job,above Rs 50000,Public bank,Savings Account,"NEFT, IMPS",Fixed Deposit,Yes,53
Man,27,North 24 Parganas,City,Graduation,Business,Rs 10000 to Rs 20000,Private bank,Savings Account,UPI,Fixed Deposit,Yes,36.5
Man,27,Hooghly,Village,Graduation,Private job,Rs 10000 to Rs 20000,Public bank,Savings Account,UPI,none,Yes,28.25
Woman,23,North 24 Parganas,Suburbs,Graduation,Private job,Rs 10000 to Rs 20000,Public bank,"Savings Account, Salary Account","RTGS, NEFT, UPI",Fixed Deposit,Yes,9.5625
Man,24,North 24 Parganas,Suburbs,Post Graduation,Student,below Rs. 5000,Public bank,Savings Account,"RTGS, NEFT, DEMAND DRAFT, IMPS, UPI, All","Recurrent Deposit, Mutual Fund",Yes,15.78125
Woman,27,Barddhaman,City,Post Graduation,Housewife,Rs5000 to Rs10000,Public bank,Savings Account,All,Fixed Deposit,Yes,6.4453125
Woman,26,West Midnapore,Village,Graduation,"
Government service",Rs 20000 to Rs 30000,Public bank,Salary Account,"RTGS, NEFT, UPI",Fixed Deposit,Yes,3.611328125
Man,24,North 24 Parganas,Suburbs,Graduation,Self -reliant,below Rs. 5000,Private bank,Savings Account,UPI,Share Market,Yes,11.80566406
Man,25,North 24 Parganas,City,Post Graduation,Student,below Rs. 5000,Public bank,Not,none,none,Yes,0
Man,18,North 24 Parganas,City,Secondary,Business,Rs 20000 to Rs 30000,Private bank,Savings Account,"NEFT, UPI","Fixed Deposit, Share Market",Yes,10
Man,22,Nadia ,Village,Diploma,Business,Rs5000 to Rs10000,Public bank,Savings Account,UPI,"Fixed Deposit, Share Market",Yes,16
Man,26,North 24 Parganas,City,Post Graduation,Private job,Rs 20000 to Rs 30000,Private bank,Savings Account,All,Share Market,Yes,37
Man,24,North 24 Parganas,Suburbs,Post Graduation,Student,Rs5000 to Rs10000,Public bank,Savings Account,"NEFT, DEMAND DRAFT, UPI",none,Yes,29.5
Man,26,West Midnapore,Village,Post Graduation,Self -reliant,below Rs. 5000,Private bank,Savings Account,none,Fixed Deposit,Yes,2.541666667
Woman,36,North 24 Parganas,City,Graduation,Housewife,below Rs. 5000,Public bank,Savings Account,DEMAND DRAFT,none,Yes,0.295138889
Woman,27,Barddhaman,City,Post Graduation,Housewife,Rs5000 to Rs10000,Public bank,Savings Account,All,Fixed Deposit,Yes,2.573784722
Man,23,North 24 Parganas,City,Graduation,Student,Rs 10000 to Rs 20000,Private bank,Savings Account,"RTGS, NEFT, IMPS, UPI","Mutual Fund, Share Market",Yes,11.28689236
Man,27,West Midnapore,Village,Graduation,Private job,Rs 10000 to Rs 20000,Public bank,Savings Account,UPI,Fixed Deposit,Yes,16.64344618
Woman,25,North 24 Parganas,Suburbs,Graduation,Private job,Rs 10000 to Rs 20000,Public bank,Savings Account,UPI,none,Yes,12.41086155
Man,24,North 24 Parganas,Suburbs,Higher Secondary,Private job,below Rs. 5000,Private bank,Savings Account,none,none,Not,0
Woman,21,North 24 Parganas,City,Higher Secondary,Self -reliant,below Rs. 5000,Public bank,Savings Account,UPI,none,Yes,0.083333333
